




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
plasma cell differentiation (GO:0002317)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of histone H3-K79 methylation (GO:2001160)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
follicular B cell differentiation (GO:0002316)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
marginal zone B cell differentiation (GO:0002315)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
germinal center B cell differentiation (GO:0002314)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
cell redox homeostasis (GO:0045454)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
bone resorption (GO:0045453)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
cholesterol biosynthetic process via desmosterol (GO:0033489)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nitric oxide homeostasis (GO:0033484)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
gas homeostasis (GO:0033483)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of renal water transport (GO:2001153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
T cell proliferation involved in immune response (GO:0002309)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of renal water transport (GO:2001151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of dipeptide transmembrane transport (GO:2001150)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CD8-positive, gamma-delta intraepithelial T cell differentiation (GO:0002305)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gamma-delta intraepithelial T cell differentiation (GO:0002304)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CD8-positive, alpha-beta T cell differentiation involved in immune response (GO:0002302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CD8-positive, alpha-beta intraepithelial T cell differentiation (GO:0002300)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endothelial cell differentiation (GO:0045446)	48	0	.60	-	 < 0.01	1.00E00	1.00E00
myoblast differentiation (GO:0045445)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of dipeptide transmembrane transport (GO:2001148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:2001145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity (GO:2001144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nicotinate transport (GO:2001142)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipid transport (GO:2001140)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipid transport (GO:2001138)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of endocytic recycling (GO:2001137)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of endocytic recycling (GO:2001136)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of endocytic recycling (GO:2001135)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex assembly (GO:0065005)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
intracellular protein transmembrane transport (GO:0065002)	47	0	.58	-	 < 0.01	1.00E00	1.00E00
specification of axis polarity (GO:0065001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of nitric oxide biosynthetic process (GO:0045429)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
nonribosomal peptide biosynthetic process (GO:0019184)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of nitric oxide biosynthetic process (GO:0045428)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of translational frameshifting (GO:2001125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of translational frameshifting (GO:2001124)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to hepatocyte growth factor stimulus (GO:2001113)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to hepatocyte growth factor stimulus (GO:2001112)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retina homeostasis (GO:0001895)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
tissue homeostasis (GO:0001894)	101	0	1.25	-	 < 0.01	6.38E-01	1.00E00
maternal placenta development (GO:0001893)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting serotonin receptor signaling pathway (GO:0007198)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway (GO:0007196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting dopamine receptor signaling pathway (GO:0007195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	22	0	.27	-	 < 0.01	1.00E00	1.00E00
adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
activation of adenylate cyclase activity (GO:0007190)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001107)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
liver development (GO:0001889)	47	0	.58	-	 < 0.01	1.00E00	1.00E00
endothelial cell morphogenesis (GO:0001886)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
endothelial cell development (GO:0001885)	30	0	.37	-	 < 0.01	1.00E00	1.00E00
receptor recycling (GO:0001881)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
Mullerian duct regression (GO:0001880)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex assembly (GO:0007183)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
common-partner SMAD protein phosphorylation (GO:0007182)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
response to yeast (GO:0001878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta receptor signaling pathway (GO:0007179)	54	0	.67	-	 < 0.01	1.00E00	1.00E00
regulation of epidermal growth factor-activated receptor activity (GO:0007176)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of epidermal growth factor-activated receptor activity (GO:0007175)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor catabolic process (GO:0007174)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal complex assembly (GO:0007172)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activation of transmembrane receptor protein tyrosine kinase activity (GO:0007171)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of mesenchymal cell proliferation involved in ureter development (GO:0072199)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation involved in ureter development (GO:0072198)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of complement activation, lectin pathway (GO:0001869)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of complement activation, lectin pathway (GO:0001868)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
kidney smooth muscle tissue development (GO:0072194)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
complement activation, lectin pathway (GO:0001867)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ureter smooth muscle cell differentiation (GO:0072193)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NK T cell proliferation (GO:0001866)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ureter epithelial cell differentiation (GO:0072192)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NK T cell differentiation (GO:0001865)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
ureter smooth muscle development (GO:0072191)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ureter urothelium development (GO:0072190)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
receptor guanylyl cyclase signaling pathway (GO:0007168)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
establishment of tissue polarity (GO:0007164)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
calcium-independent cell-matrix adhesion (GO:0007161)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell-matrix adhesion (GO:0007160)	70	0	.87	-	 < 0.01	1.00E00	1.00E00
leukocyte cell-cell adhesion (GO:0007159)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
neuron cell-cell adhesion (GO:0007158)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	36	0	.45	-	 < 0.01	1.00E00	1.00E00
positive regulation of epithelial cell differentiation involved in kidney development (GO:2000698)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of epithelial cell differentiation involved in kidney development (GO:2000697)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mesonephric duct development (GO:0072177)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
metanephric tubule formation (GO:0072174)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle cell myoblast differentiation (GO:2000691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
metanephric tubule morphogenesis (GO:0072173)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle cell myoblast differentiation (GO:2000690)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagolysosome assembly (GO:0001845)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
metanephric tubule development (GO:0072170)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
radial glia-guided pyramidal neuron migration (GO:0140650)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neural fold formation (GO:0001842)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
female meiosis II (GO:0007147)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neural plate development (GO:0001840)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
female meiosis I (GO:0007144)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
female meiotic nuclear division (GO:0007143)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
male meiosis I (GO:0007141)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
male meiotic nuclear division (GO:0007140)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring assembly actin filament organization (GO:2000689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P450-containing electron transport chain (GO:0140647)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neural plate morphogenesis (GO:0001839)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
blastocyst hatching (GO:0001835)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell differentiation involved in kidney development (GO:0072161)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trophectodermal cell proliferation (GO:0001834)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
male germ-line sex determination (GO:0019100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inner cell mass cell proliferation (GO:0001833)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
blastocyst growth (GO:0001832)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
trophectodermal cellular morphogenesis (GO:0001831)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cloacal septation (GO:0060197)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trophectodermal cell fate commitment (GO:0001830)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiosis II (GO:0007135)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipase activity (GO:0060192)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
reciprocal meiotic recombination (GO:0007131)	28	0	.35	-	 < 0.01	1.00E00	1.00E00
synaptonemal complex assembly (GO:0007130)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription regulatory region DNA binding (GO:2000678)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of type B pancreatic cell apoptotic process (GO:2000676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of type B pancreatic cell apoptotic process (GO:2000675)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of type B pancreatic cell apoptotic process (GO:2000674)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
distal tubule morphogenesis (GO:0072156)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
trophectodermal cell differentiation (GO:0001829)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
inner cell mass cellular morphogenesis (GO:0001828)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inner cell mass cell fate commitment (GO:0001827)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell apoptotic process (GO:2000670)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inner cell mass cell differentiation (GO:0001826)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
blastocyst formation (GO:0001825)	29	0	.36	-	 < 0.01	1.00E00	1.00E00
inflammasome complex assembly (GO:0140632)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
blastocyst development (GO:0001824)	69	0	.86	-	 < 0.01	1.00E00	1.00E00
homologous chromosome pairing at meiosis (GO:0007129)	26	0	.32	-	 < 0.01	1.00E00	1.00E00
histamine secretion (GO:0001821)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
meiosis I (GO:0007127)	67	0	.83	-	 < 0.01	1.00E00	1.00E00
serotonin secretion (GO:0001820)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
female mating behavior (GO:0060180)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell apoptotic process (GO:2000669)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell apoptotic process (GO:2000668)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
epithelial cell fate commitment (GO:0072148)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein catabolic process via the C-end degron rule pathway (GO:0140627)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
glomerular mesangial cell development (GO:0072144)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of interleukin-1-mediated signaling pathway (GO:2000661)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mesangial cell development (GO:0072143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of interleukin-1-mediated signaling pathway (GO:2000660)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytokine production (GO:0001816)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
renal interstitial fibroblast development (GO:0072141)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
male mating behavior (GO:0060179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of angiotensin metabolic process (GO:0060177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
limb bud formation (GO:0060174)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
endomitotic cell cycle (GO:0007113)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex disassembly (GO:0032988)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-DNA complex disassembly (GO:0032986)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of interleukin-1-mediated signaling pathway (GO:2000659)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
keratinocyte activation (GO:0032980)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glomerular parietal epithelial cell differentiation (GO:0072139)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mesenchymal cell proliferation involved in ureteric bud development (GO:0072138)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular response to testosterone stimulus (GO:2000655)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cellular response to testosterone stimulus (GO:2000654)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of genetic imprinting (GO:2000653)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of type IV hypersensitivity (GO:0001809)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of type IV hypersensitivity (GO:0001808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nephrogenic mesenchyme morphogenesis (GO:0072134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of type IV hypersensitivity (GO:0001807)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
metanephric mesenchyme morphogenesis (GO:0072133)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transmembrane transporter activity (GO:2000650)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
type IV hypersensitivity (GO:0001806)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
kidney mesenchyme morphogenesis (GO:0072131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of adenosine receptor signaling pathway (GO:0060169)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein autoubiquitination (GO:1902499)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenosine receptor signaling pathway (GO:0060168)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of protein autoubiquitination (GO:1902498)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of adenosine receptor signaling pathway (GO:0060167)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
iron-sulfur cluster transmembrane transport (GO:1902497)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
olfactory pit development (GO:0060166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of timing of neuron differentiation (GO:0060164)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of dopamine receptor signaling pathway (GO:0060161)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane from inner side (GO:0032978)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane export from vacuole (GO:0032974)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	29	0	.36	-	 < 0.01	1.00E00	1.00E00
regulation of muscle filament sliding speed (GO:0032972)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of stem cell proliferation (GO:2000648)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of muscle filament sliding (GO:0032971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of stem cell proliferation (GO:2000647)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
regulation of actin filament-based process (GO:0032970)	238	0	2.95	-	 < 0.01	1.24E-01	1.00E00
positive regulation of receptor catabolic process (GO:2000646)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of receptor catabolic process (GO:2000645)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of receptor catabolic process (GO:2000644)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of glomerular mesangial cell proliferation (GO:0072126)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of early endosome to late endosome transport (GO:2000643)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of glomerular mesangial cell proliferation (GO:0072125)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of early endosome to late endosome transport (GO:2000642)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of glomerular mesangial cell proliferation (GO:0072124)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of early endosome to late endosome transport (GO:2000641)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
positive regulation of SREBP signaling pathway (GO:2000640)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of dopamine receptor signaling pathway (GO:0060159)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
urinary bladder development (GO:0060157)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet dense granule organization (GO:0060155)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cytotoxic T cell pyroptotic process (GO:1902483)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
microtubule-based peroxisome localization (GO:0060152)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisome localization (GO:0060151)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to mitotic spindle (GO:1902480)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of collagen biosynthetic process (GO:0032967)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of collagen biosynthetic process (GO:0032966)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of collagen biosynthetic process (GO:0032965)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
collagen biosynthetic process (GO:0032964)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of SREBP signaling pathway (GO:2000639)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of inositol trisphosphate biosynthetic process (GO:0032962)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of SREBP signaling pathway (GO:2000638)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of miRNA-mediated gene silencing (GO:2000637)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of inositol trisphosphate biosynthetic process (GO:0032960)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of primary miRNA processing (GO:2000635)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of primary miRNA processing (GO:2000634)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of pre-miRNA processing (GO:2000633)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of pre-miRNA processing (GO:2000632)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pronephros morphogenesis (GO:0072114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of pre-miRNA processing (GO:2000631)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
podocyte differentiation (GO:0072112)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
cell proliferation involved in kidney development (GO:0072111)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of post-transcriptional gene silencing (GO:0060149)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
